Robert De Niro
Morgan Freeman
Johnny Depp
Bruce Willis
Matt Damon
Steve Buscemi
Liam Neeson
Brad Pitt
Bill Murray
Nicolas Cage
Will Ferrell
Denzel Washington
J.K. Simmons
Scarlett Johansson
Jim Broadbent
Anthony Hopkins
Robert Downey Jr.
Harrison Ford
Tom Cruise
Christian Bale
James Franco
Tom Hanks
Tom Wilkinson
Robin Williams
Julia Roberts
Sylvester Stallone
Kirsten Dunst
Jason Statham
Matthew McConaughey
Meryl Streep
Judy Greer
Angelina Jolie Pitt
Keanu Reeves
Gerard Butler
Philip Seymour Hoffman
Robert Duvall
Anne Hathaway
Hugh Jackman
Jeff Bridges
Charlize Theron
Adam Sandler
Gary Oldman
Dwayne Johnson
Kevin Spacey
Naomi Watts
Leonardo DiCaprio
Kate Winslet
Channing Tatum
Dennis Quaid
Oliver Platt
Rosario Dawson
Al Pacino
Will Smith
Jake Gyllenhaal
Steve Carell
Kristen Stewart
Bradley Cooper
Jason Flemyng
Natalie Portman
Stephen Root
Joseph Gordon-Levitt
Ryan Reynolds
Paul Walker
Vin Diesel
Bruce Greenwood
Colin Firth
Salma Hayek
Zooey Deschanel
Milla Jovovich
Viggo Mortensen
Jon Favreau
Ray Winstone
Jada Pinkett Smith
Chloë Grace Moretz
Brendan Fraser
Steve Coogan
Scott Glenn
Ryan Gosling
William Hurt
Clifton Collins Jr.
Matthew Broderick
Demi Moore
Bruce McGill
Bob Hoskins
Michael Rapaport
John Heard
Clint Eastwood
Chris Hemsworth
Christopher Lee
Don Cheadle
Mila Kunis
Olivia Wilde
Jennifer Lawrence
Michael Fassbender
Delroy Lindo
Djimon Hounsou
Josh Hutcherson
Jennifer Garner
Sam Shepard
Chazz Palminteri
Jamie Lee Curtis
Anna Kendrick
Jennifer Jason Leigh
Gary Cole
Lin Shaye
Frank Langella
Peter Dinklage
Emma Stone
Amy Poehler
Bernie Mac
Alfre Woodard
Adam Scott
Catherine O'Hara
Jon Lovitz
Loretta Devine
Martin Landau
Jay Hernandez
Mike Epps
Nia Long
Tom Hardy
Kristin Scott Thomas
Thomas Kretschmann
Chris Evans
Robin Wright
Jet Li
Rip Torn
Mekhi Phifer
Rufus Sewell
Holly Hunter
Michael Angarano
Mike Starr
Minnie Driver
Bill Cobbs
Daniel Radcliffe
Eddie Marsan
Fred Willard
Cary-Hiroyuki Tagawa
Vivica A. Fox
Jeremy Renner
Logan Lerman
Mark Margolis
Udo Kier
Sarah Michelle Gellar
Virginia Madsen
Michael Biehn
Bokeem Woodbine
Radha Mitchell
Charlotte Rampling
Natasha Lyonne
Thomas Lennon
Alexa PenaVega
Aidan Quinn
Paul Sorvino
Bruce Dern
Orlando Bloom
Alan Rickman
Dominic Cooper
Callum Rennie
Mako
Janeane Garofalo
Toby Jones
Tony Curran
Nathan Lane
Hayden Christensen
Tim Blake Nelson
Kelly Preston
Michael Wincott
Olivia Williams
David Oyelowo
Cole Hauser
Shirley Henderson
Joan Allen
Hal Holbrook
Vanessa Redgrave
Ethan Embry
Harold Perrineau
Adam Goldberg
